asset,strategy_family,applicable,state,reason,required_evidence
SOLUSD,BREAKOUT_RETEST,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
SOLUSD,MEAN_REVERSION,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
SOLUSD,VOLATILITY_REGIME,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
SOLUSD,SESSION_TIME,True,EXECUTED_TRIGGERED,,M1+ASSET_MARKET_CALENDAR+DST
SOLUSD,ORDER_FLOW_MICROSTRUCTURE,True,DATA_GATED,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH,BID_ASK_TICKS+SPREAD+OPTIONAL_DEPTH
SOLUSD,RELATIVE_VALUE_PAIRS,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_PEER_PATHS
SOLUSD,INTERMARKET,True,EXECUTED_TRIGGERED,,SYNCHRONIZED_CROSS_ASSET+FACTOR_FEEDS
SOLUSD,CARRY_VALUE,True,DATA_GATED,SPOT_FUTURES_BASIS+YIELD,SPOT_FUTURES_BASIS+YIELD
SOLUSD,CRYPTO_FUNDING_BASIS,True,DATA_GATED,PERP_FUNDING+BASIS+OI+LIQUIDATIONS,PERP_FUNDING+BASIS+OI+LIQUIDATIONS
SOLUSD,EVENT_RESPONSE,True,DATA_GATED,CRYPTO+MACRO+LIQUIDATION_EVENT_FEED,CRYPTO+MACRO+LIQUIDATION_EVENT_FEED
SOLUSD,ENSEMBLE_REGIME,True,EXECUTED_TRIGGERED,,SURVIVING_FAMILY_SCORES+REGIME_STATE
BNBUSD,SUPPLY_DEMAND,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
BNBUSD,LIQUIDITY_STRUCTURE,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
BNBUSD,TREND_FOLLOWING,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
BNBUSD,MOMENTUM_PULLBACK,True,EXECUTED_TRIGGERED,,M1_TO_D1_OHLC+SPREAD
BNBUSD,BREAKOUT_RETEST,True,EXECUTED_TRIGGERED,,M1_M5_M15_OHLC+SPREAD
