trades,net_pnl,wins,losses,flat,avg_pnl,nonflat_win_rate,dimension,value
68,-8.286357612499863,17,22,29,-0.12185820018382151,0.4358974358974359,entry_hour_utc,12
85,-2.0771532842852696,21,30,34,-0.024437097462179643,0.4117647058823529,entry_hour_utc,19
30,-0.08623164464281727,7,8,15,-0.0028743881547605757,0.4666666666666667,entry_hour_utc,3
44,0.44528284686408964,8,10,26,0.010120064701456584,0.4444444444444444,entry_hour_utc,14
27,0.5174445785715192,10,10,7,0.019164614021167377,0.5,entry_hour_utc,1
45,0.5450232512496783,13,15,17,0.012111627805548407,0.4642857142857143,entry_hour_utc,5
54,0.8596863303565103,17,17,20,0.015920117228824266,0.5,entry_hour_utc,7
35,1.476202100000019,11,7,17,0.0421772028571434,0.6111111111111112,entry_hour_utc,9
37,1.607860323214488,16,9,12,0.04345568441120238,0.64,entry_hour_utc,6
56,2.0976121722854373,19,17,20,0.037457360219382806,0.5277777777777778,entry_hour_utc,11
44,3.8612419515000944,15,9,20,0.08775549889772942,0.625,entry_hour_utc,15
33,3.871854250001816,14,9,10,0.1173289166667217,0.6086956521739131,entry_hour_utc,4
48,4.18394659285609,21,13,14,0.08716555401783521,0.6176470588235294,entry_hour_utc,17
68,4.980298696285555,24,23,21,0.07323968671008169,0.5106382978723404,entry_hour_utc,13
56,5.44312691428633,28,17,11,0.09719869489797017,0.6222222222222222,entry_hour_utc,22
49,5.659004632142517,19,9,21,0.11548989045188811,0.6785714285714286,entry_hour_utc,23
59,5.769239950000368,17,13,29,0.09778372796610793,0.5666666666666667,entry_hour_utc,18
42,6.160198921928528,14,7,21,0.1466714029030602,0.6666666666666666,entry_hour_utc,8
94,6.428547269373704,35,27,32,0.06838880073801813,0.5645161290322581,entry_hour_utc,0
51,8.391495142714305,18,6,27,0.16453912044537852,0.75,entry_hour_utc,10
33,9.300025384285759,16,5,12,0.2818189510389624,0.7619047619047619,entry_hour_utc,2
49,10.23715467857243,22,8,19,0.2089215240524986,0.7333333333333333,entry_hour_utc,16
87,15.705539240716236,36,25,26,0.18052343954846248,0.5901639344262295,entry_hour_utc,20
199,67.33060278571647,127,58,14,0.33834473761666567,0.6864864864864865,entry_hour_utc,21
148,-7.2568046061907285,90,58,0,-0.04903246355534276,0.6081081081081081,strategy,MEAN_REVERSION_EXTREME
40,-4.8617071928565645,8,18,14,-0.12154267982141412,0.3076923076923077,strategy,BREAKOUT_RETEST
13,-4.20889776428573,1,9,3,-0.3237613664835177,0.1,strategy,SESSION_OPEN_SWEEP_RECLAIM
18,-2.353671875000041,3,6,9,-0.13075954861111339,0.3333333333333333,strategy,INTRADAY_SWING_CONTINUATION
30,-1.7926357857152642,6,12,12,-0.059754526190508805,0.3333333333333333,strategy,COMPRESSION_EXPANSION
18,-1.4458614285707814,3,8,7,-0.08032563492059897,0.2727272727272727,strategy,FAILED_BREAK_REVERSAL
6,-1.3600548571431954,1,3,2,-0.2266758095238659,0.25,strategy,VOLATILITY_REVERSAL
25,-1.3332900000003607,6,12,7,-0.053331600000014426,0.3333333333333333,strategy,SESSION_OPEN_RANGE_BREAKOUT
7,-1.1337357142858693,0,2,5,-0.16196224489798133,0.0,strategy,DAY_OPEN_DRIVE_FADE
8,-0.9199961428569805,1,5,2,-0.11499951785712256,0.16666666666666666,strategy,DAY_OPEN_DRIVE_CONTINUATION
1,-0.5834237142857455,0,1,0,-0.5834237142857455,0.0,strategy,WINNER_ONLY_ADDON
26,1.4090130764285593,7,10,9,0.05419281063186766,0.4117647058823529,strategy,SUPPLY_DEMAND_SWEEP_BOS
10,2.0579092857147523,5,3,2,0.20579092857147524,0.625,strategy,HTF_PULLBACK_CONTINUATION
23,4.422503489285449,8,7,8,0.1922827604037152,0.5333333333333333,strategy,HTF_TREND_BREAKOUT
37,10.147616464285806,16,6,15,0.2742599044401569,0.7272727272727273,strategy,INTERMARKET_LEAD_LAG
17,13.017238821429622,9,6,2,0.7657199306723307,0.6,strategy,CLOSE_SESSION_CONTINUATION
131,19.81884812750044,92,39,0,0.15128891700382016,0.7022900763358778,strategy,CLOSE_SESSION_FADE
363,60.34174130357088,142,65,156,0.1662306922963385,0.6859903381642513,strategy,RELATIVE_VALUE_ROTATION
472,70.45685398446975,147,104,221,0.1492729957298088,0.5856573705179283,strategy,ENSEMBLE_CONFLUENCE
31,-5.6547591928565115,4,17,10,-0.18241158686633907,0.19047619047619047,strategy_family,LIQUIDITY_STRUCTURE
40,-4.8617071928565645,8,18,14,-0.12154267982141412,0.3076923076923077,strategy_family,BREAKOUT_RETEST
36,-3.1526906428584596,7,15,14,-0.08757474007940165,0.3181818181818182,strategy_family,VOLATILITY_REGIME
1,-0.5834237142857455,0,1,0,-0.5834237142857455,0.0,strategy_family,CAMPAIGN_MANAGEMENT
26,1.4090130764285593,7,10,9,0.05419281063186766,0.4117647058823529,strategy_family,SUPPLY_DEMAND
10,2.0579092857147523,5,3,2,0.20579092857147524,0.625,strategy_family,MOMENTUM_PULLBACK
41,2.068831614285408,11,13,17,0.05045930766549776,0.4583333333333333,strategy_family,TREND_FOLLOWING
57,9.630216964286411,16,25,16,0.1689511748120423,0.3902439024390244,strategy_family,SESSION_TIME
37,10.147616464285806,16,6,15,0.2742599044401569,0.7272727272727273,strategy_family,INTERMARKET
279,12.562043521309715,182,97,0,0.04502524559609217,0.6523297491039427,strategy_family,MEAN_REVERSION
363,60.34174130357088,142,65,156,0.1662306922963385,0.6859903381642513,strategy_family,RELATIVE_VALUE_PAIRS
472,70.45685398446975,147,104,221,0.1492729957298088,0.5856573705179283,strategy_family,ENSEMBLE_REGIME
