asset,trades,wins,losses,flat,net_pnl,gross_win_pnl,gross_loss_pnl,nonflat_win_rate,avg_win_pnl,avg_loss_pnl,profit_factor,avg_net_r,avg_mfe_r,avg_mae_r,avg_giveback_r,cost_r_sum
UK100,28,8,8,12,1.76620039642843,5.363920360714273,-3.5977199642858433,0.5,0.6704900450892841,-0.4497149955357304,1.4909221434578845,0.13053609304643568,1.1519797695953482,0.6294748885263105,0.7492892012515202,0.0
V100,16,6,2,8,2.213026149999996,3.1807215785714282,-0.9676954285714323,0.75,0.5301202630952381,-0.48384771428571616,3.286903590385864,0.29677014248930134,1.2937568350581963,0.5132585118254349,0.8719866925688948,0.0
USDJPY,44,13,11,20,2.588789499999771,8.498639499999408,-5.909849999999636,0.5416666666666666,0.6537414999999545,-0.5372590909090579,1.4380465663256987,0.17410711441709623,1.2142949239368201,0.6173175485723121,0.7901878095197197,0.0
V75,24,6,4,14,2.7074765779285737,4.2258122547142705,-1.5183356767856966,0.6,0.7043020424523784,-0.37958391919642415,2.783187090525514,0.17796275721069485,1.200484345540941,0.4750674751490393,0.8558549216635797,0.0
XAGUSD,14,8,4,2,3.0123153928572495,3.99392253571435,-0.9816071428571007,0.6666666666666666,0.4992403169642938,-0.24540178571427518,4.068758631981321,0.07812532860669898,1.2429318040601793,0.5492791917287295,0.8790921897391978,0.0
USDCAD,28,13,6,9,3.5622102142856367,5.580210214285534,-2.0179999999998977,0.6842105263157895,0.4292469395604257,-0.3363333333333163,2.765218143848274,0.1905053150877754,1.2855000682510678,0.611723454699387,0.8956875386386878,0.0
GBPJPY,34,13,7,14,3.729156071428284,7.277973928571519,-3.5488178571432343,0.65,0.5598441483516553,-0.5069739795918906,2.050816418746895,0.26509987914480654,1.2816009314958252,0.8494156866674833,0.810618699409828,0.0
BNBUSD,17,7,1,9,3.9025594285711893,4.185327999999764,-0.28276857142857353,0.875,0.5979039999999662,-0.28276857142857353,14.801248875909694,0.4232099608006438,1.355544259637942,0.3972137328321515,0.8735107694255341,0.0
US500,26,10,7,9,4.028359001071338,7.081894036785468,-3.053535035714131,0.5882352941176471,0.7081894036785468,-0.4362192908163044,2.3192444016379934,0.2505742868012176,1.298563515879169,0.6182501222229548,0.7787584598471889,0.0
SOLUSD,27,13,5,9,4.344739214285771,7.512701714285649,-3.167962499999878,0.7222222222222222,0.5779001318681268,-0.6335924999999756,2.371461693213205,0.538887227469568,1.6083253762547092,0.4735273296522295,0.8842529635999604,0.0
AUDJPY,44,16,11,17,4.9431461785716175,11.331806892857351,-6.388660714285734,0.5925925925925926,0.7082379308035844,-0.5807873376623395,1.7737374701270656,0.15392168523612618,1.238004950841548,0.6655563925786993,0.8340832656054225,0.0
BRENT,19,8,3,8,5.255980714285755,6.6331878571429,-1.377207142857145,0.7272727272727273,0.8291484821428625,-0.4590690476190484,4.816405354521856,0.4067383332791004,1.5183522086139718,0.3814260184291613,0.9537191384927658,0.0
EURJPY,51,16,9,26,6.810702499999422,10.979041785714202,-4.168339285714779,0.64,0.6861901116071376,-0.4631488095238644,2.6339127007583634,0.22328887186283858,1.2728805029606474,0.47917236010401437,0.8731210428624973,0.0
BTCUSD,6,4,0,2,6.953446964285613,6.953446964285613,0.0,1.0,1.7383617410714032,0.0,,3.506528695100099,4.414823356682415,0.07958701654961448,0.908294661582317,0.0
ETHUSD,43,18,14,11,6.957722428571392,14.957820642857088,-8.000098214285693,0.5625,0.8309900357142826,-0.5714355867346923,1.8697046263940937,0.5341036774464425,1.5621817097146604,0.8057908455355833,0.702496636919383,0.0
GER40,40,15,4,21,8.740200964286228,11.208755642857607,-2.4685546785713814,0.7894736842105263,0.7472503761905072,-0.6171386696428454,4.540614692539204,0.34331538164800895,1.27897767136259,0.5451182413583912,0.835662289714582,0.0
AUDUSD,59,30,12,17,9.011954999999318,13.844254999999809,-4.8323000000004885,0.7142857142857143,0.4614751666666603,-0.40269166666670736,2.86494112534371,0.33401499776170995,1.359399649080712,0.5655189526001303,0.8219948208105151,0.0
NATGAS,63,27,16,20,14.041588142856833,23.932968142856886,-9.89138000000005,0.627906976744186,0.886406227513218,-0.6182112500000031,2.4195782734923506,0.3129974837011621,1.3262705067137854,0.598295269804869,0.7945046556630843,0.0
CADJPY,107,45,8,54,20.596418928571325,22.762033214285637,-2.1656142857143124,0.8490566037735849,0.5058229603174585,-0.27070178571428904,10.51065896842186,0.42572887600216275,1.4361948074102613,0.45897318625473577,0.9356995762679097,0.0
NZDUSD,95,47,21,27,20.936940785713933,34.799451500000565,-13.862510714286625,0.6911764705882353,0.7404138617021396,-0.6601195578231727,2.510328195031543,0.3441879087021529,1.3811239191858982,0.7523703557635958,0.8158833789047899,0.0
USDCHF,73,34,14,25,41.222778357145884,47.993896214287915,-6.771117857142029,0.7083333333333334,1.411585182773174,-0.4836512755101449,7.088031433933024,0.7342002522562916,1.7457746013599575,0.595207525027547,0.8197935271858753,0.0
GBPCHF,81,42,19,20,56.30240196429158,67.49247696429113,-11.190074999999556,0.6885245901639344,1.606963737245027,-0.5889513157894504,6.0314588565576015,0.9250808944843729,1.956408664590597,1.071255006659765,0.7967598688716658,0.0
