asset,asset_class,exposure_group,mean_abs_core_corr,max_abs_core_corr,residual_variance_ratio,tail_codrawdown_frequency,rolling_vol_corr_abs,trend_chop_difference,session_novelty,stale_return_share,local_gap_gt5m_share,daily_observations,candidate_density_per_10000_m1,strategy_family_breadth,core_underlying_duplicate,anchor,structural_score,joint_selection_score,pairwise_selected_corr_at_entry,selected_order,selected
DIESEL.CMD,COMMODITY,ENERGY,0.12594649166380584,0.5595073089397175,0.6457113527064814,0.7272727272727273,0.09235259399924259,0.031227879677793585,0.15256666998021126,0.0150478102596862,0.0039647532422758,90,726.1278252669364,9,1.0,BRENT,0.5495238095238095,0.5274873624967498,0.1001656683048171,16.0,True
AUS.IDX,INDEX,AUS.IDX,0.19470675382794075,0.594510989722586,0.5703040572358473,0.5,0.25631386373314113,0.03749510621903693,0.12056255839121614,0.0438840448987773,0.003344858689116,90,735.8689116055322,9,0.0,US500,0.5573809523809523,,,,False
COPPER.CMD,COMMODITY,COPPER.CMD,0.19574418818705216,0.4906624461977746,0.6949251984164149,0.8,0.1618488159337144,0.05966324393377814,0.05787797842655769,0.0369356789307666,0.0006794918149288,145,638.3482738414352,9,0.0,WTI,0.5421428571428573,,,,False
NZDCHF,FX,NZDCHF,0.1823873374190465,0.5295860493866937,0.5384664528739693,0.5555555555555556,0.26437584564032884,0.029775019514743623,0.07620280799736062,0.095130392840615,9.125217538668108e-05,124,647.8252651201595,9,0.0,USDCHF,0.5304761904761904,,,,False
EURZAR,FX,EURZAR,0.2325887598995095,0.4999869684300789,0.5741756579384357,0.1,0.5691721012782868,0.02124661653315582,0.0677604163832521,0.0054221391804509,0.0001343322769931,138,665.9217331306137,9,0.0,EURUSD,0.5188095238095238,,,,False
NZDCAD,FX,NZDCAD,0.22627830076604824,0.7087092400918188,0.5818338813598309,0.5454545454545454,0.1262979780866385,0.04217262792474835,0.07501074388456143,0.0673713181472155,0.0001815307138256,143,653.6276863617732,9,0.0,USDCAD,0.4952380952380952,,,,False
EURCAD,FX,EURCAD,0.20996083754965986,0.7437607713361671,0.3751456772212649,0.0,0.012363631331320672,0.0692559280961815,0.04773308334768548,0.0487153396082421,0.0005511744255066,139,646.1460188247265,9,0.0,USDCAD,0.4742857142857143,,,,False
USDMXN,FX,USDMXN,0.24248309844466914,0.6334447852718653,0.5273253037677155,0.4,0.3633182431364677,0.03351533170297813,0.12065775534862264,0.0637717717717717,0.0002702702702702,140,649.96996996997,9,0.0,USDJPY,0.4633333333333333,,,,False
CADCHF,FX,CADCHF,0.17043182998241455,0.7186863880717803,0.5179590021373579,0.8,0.10179927184226505,0.01287562951763696,0.0696741017200642,0.1038360221747506,0.0001179508014101,129,614.9823729080115,9,0.0,USDCHF,0.445952380952381,,,,False
BCHUSD,CRYPTO,BCH,0.18531342603562204,0.5980359398062652,0.6033034900357099,0.9090909090909091,0.3864838778095849,0.05659453431525929,0.04160961256953809,0.1338672038124247,9.825837038492716e-06,143,583.7529784568522,9,0.0,BTCUSD,0.44452380952380954,,,,False
