strategy,exit_reason,trades,net_pnl,avg_net_r,avg_mfe_r,avg_giveback_r
INTRADAY_SWING_CONTINUATION,STOP,6,-3.0528622857143146,-1.0000000000000002,0.17452300463613102,0.17452300463613102
INTRADAY_SWING_CONTINUATION,DYNAMIC_CAPITAL_RECYCLE_R5,1,0.25,0.4480975060173093,2.9215957392328487,0.7999999999999958
INTRADAY_SWING_CONTINUATION,PROTECTED_STOP,11,0.44919041071427374,0.09090909090908984,1.1899731901986046,1.0990640992895147
MEAN_REVERSION_EXTREME,STOP,58,-24.83610107285749,-1.000000000000035,0.3230332780965518,0.3230332780965518
MEAN_REVERSION_EXTREME,TIME,1,0.3591224999999806,1.5086011342153478,2.411258139046117,0.9026570048307692
MEAN_REVERSION_EXTREME,PROTECTED_STOP,89,17.220173966666778,0.3774565384755529,1.297720277477168,0.9202637390016148
RELATIVE_VALUE_ROTATION,STOP,64,-26.44832264285776,-1.00000000000002,0.28277220337004466,0.28277220337004466
RELATIVE_VALUE_ROTATION,TARGET,1,0.7237607142857007,3.0,3.100472235792338,0.100472235792338
RELATIVE_VALUE_ROTATION,DYNAMIC_CAPITAL_RECYCLE_R5,3,2.2541999999999756,1.2441535231104877,1.6466743420983738,0.8114530168265685
RELATIVE_VALUE_ROTATION,TIME,12,3.3983399999997665,0.8097162921783485,1.2388685533828758,0.4247149274523518
RELATIVE_VALUE_ROTATION,PROTECTED_STOP,283,80.4137632321432,0.6079186527060308,1.5915093709659316,0.9835907182599006
SESSION_OPEN_RANGE_BREAKOUT,STOP,12,-5.863685714285893,-1.0000000000000322,0.2086066325355753,0.2086066325355753
SESSION_OPEN_RANGE_BREAKOUT,PROTECTED_STOP,13,4.5303957142855324,0.8118810556467563,1.829628006545536,1.0177469508987795
SESSION_OPEN_SWEEP_RECLAIM,STOP,9,-4.805187764285729,-1.0000000000000078,0.17185809958694687,0.17185809958694687
SESSION_OPEN_SWEEP_RECLAIM,PROTECTED_STOP,4,0.5962899999999991,0.32879711063935224,1.2562899613440175,0.9274928507046654
SUPPLY_DEMAND_SWEEP_BOS,STOP,10,-4.30593926642819,-0.9999999999999432,0.30856096454622783,0.30856096454622783
SUPPLY_DEMAND_SWEEP_BOS,PROTECTED_STOP,16,5.7149523428567495,0.7329587256399404,1.6828652726086133,0.9499065469686728
VOLATILITY_REVERSAL,STOP,3,-2.105978571428868,-1.0000000000001301,0.19603724707691098,0.19603724707691098
VOLATILITY_REVERSAL,PROTECTED_STOP,3,0.7459237142856728,0.4088852762558039,1.2534090597433716,0.8445237834875678
WINNER_ONLY_ADDON,STOP,1,-0.5834237142857455,-1.0000000000001148,0.0,0.0
