target,rule_type,field1,dir1,threshold1,quantile1,field2,dir2,threshold2,quantile2,disc_excluded,disc_excluded_pct,disc_target_removed,disc_wins_removed,disc_losses_removed,disc_flats_removed,disc_selection_frozen_delta_usd,disc_winner_pnl_removed,disc_loss_pnl_removed,disc_target_precision,valid_excluded,valid_excluded_pct,valid_target_removed,valid_wins_removed,valid_losses_removed,valid_flats_removed,valid_selection_frozen_delta_usd,valid_winner_pnl_removed,valid_loss_pnl_removed,valid_target_precision,discovery_pass,repair_score
barely_developed_loss,1D,reliability_strategy_mean_r,le,0.07630568207694308,0.1,,,,,96,0.1166464155528554,14,47,33,16,-18.83683203928628,30.614510217856814,-11.777678178570532,0.14583333333333334,57,0.24050632911392406,10,32,18,7,-31.18509440250279,38.69598972393097,-7.510895321428185,0.17543859649122806,False,-380.25
severe_mae_loss,1D,reliability_strategy_mean_r,ge,0.1510826192894883,0.8,,,,,176,0.21385176184690158,2,72,30,74,-22.03178441785797,35.57475098928606,-13.542966571428089,0.011363636363636364,21,0.08860759493670886,1,7,1,13,-4.9999346428561156,6.564181071427819,-1.564246428571703,0.047619047619047616,False,-381.25
barely_developed_loss,1D,reliability_expected_r,le,0.07339858947124882,0.3,,,,,248,0.30133657351154314,22,76,57,115,-20.474130140214818,48.862741481285774,-28.388611341070956,0.08870967741935484,54,0.22784810126582278,7,14,15,25,-8.379162124856224,16.10133789628525,-7.7221757714290264,0.12962962962962962,False,-383.5
barely_developed_loss,1D,reliability_score,le,-0.05612360587640852,0.3,,,,,248,0.30133657351154314,22,71,52,125,-22.474957479503118,50.10134739200268,-27.626389912499558,0.08870967741935484,59,0.2489451476793249,5,15,15,29,-8.183539124856468,17.165829039142565,-8.982289914286095,0.0847457627118644,False,-384.75
barely_developed_loss,1D,stability,le,0.11245498270748465,0.3,,,,,249,0.3025516403402187,24,72,59,118,-18.270112450928504,48.08437797057072,-29.81426551964222,0.0963855421686747,59,0.2489451476793249,8,18,15,26,-10.930236660570664,18.76737100342828,-7.837134342857617,0.13559322033898305,False,-389.0
severe_mae_loss,1D,decision_hour,le,7.0,0.2,,,,,185,0.22478736330498178,6,61,35,89,-22.554357742859246,42.887379600002326,-20.333021857143088,0.032432432432432434,38,0.16033755274261605,2,15,6,17,-11.911185467856807,15.844497610713756,-3.933312142856951,0.05263157894736842,False,-389.75
barely_developed_loss,1D,reliability_asset_strategy_mean_r,le,0.11457466774677837,0.3,,,,,250,0.3037667071688943,22,76,54,120,-17.476397461645764,44.2567904812884,-26.780393019642634,0.088,56,0.23628691983122363,6,14,16,26,-7.545222124856281,17.031552110571095,-9.48632998571481,0.10714285714285714,False,-390.5
barely_developed_loss,1D,trailing_giveback,ge,0.8967585507542115,0.8,,,,,167,0.20291616038882138,14,84,26,57,-33.735332032143745,43.92041381785745,-10.185081785713704,0.08383233532934131,25,0.10548523206751055,5,10,10,5,-3.7979794285721904,7.918918714286082,-4.120939285713892,0.2,False,-392.0
severe_mae_loss,1D,reliability_strategy_mean_r,le,0.07630568207694308,0.1,,,,,96,0.1166464155528554,16,47,33,16,-18.83683203928628,30.614510217856814,-11.777678178570532,0.16666666666666666,57,0.24050632911392406,7,32,18,7,-31.18509440250279,38.69598972393097,-7.510895321428185,0.12280701754385964,False,-392.25
barely_developed_loss,1D,trailing_win_rate,le,0.28721174004192873,0.3,,,,,252,0.30619684082624543,21,68,50,134,-28.82466734378751,56.74629429200042,-27.921626948212918,0.08333333333333333,67,0.28270042194092826,8,19,15,33,-12.21942680342957,22.037302253431083,-9.817875450001509,0.11940298507462686,False,-392.75
barely_developed_loss,1D,rank_score,le,0.3845722601648459,0.3,,,,,249,0.3025516403402187,23,78,53,118,-19.523336458074176,45.91762272771749,-26.394286269643317,0.09236947791164658,67,0.28270042194092826,10,17,21,29,-9.316611714143397,20.04547891414434,-10.728867200000941,0.14925373134328357,False,-398.0
